orderID,executionDate,WETHamount,DXD/WETH,fill,minDXD,WETHleft,batchExpiry,txsHash,ethPrice,dxdPrice
0,14-05-2021,0.100000000000000000,0.12848433110328605,0.9999999879883434,0.778305020863687586,1.201165655E-9,5406405,https://blockscout.com/xdai/mainnet/tx/0x55356709ea621ac1d3a0c2141c194ee89f36600b996b12a6641ef24a99749e3a,3750.3415950592753,481.8601312500219
1,15-05-2021,9.390000000000000000,0.11727847286093865,0.99999999980096,80.065844744875424435,1.868985662E-9,5406405,https://blockscout.com/xdai/mainnet/tx/0x7cb8460f712ccc07cc1782d60d24a4d6624d1790d8026b3696fb9facddaaf397,4088.73170832043,479.52021068991684
2,24-05-2021,11.130000000000000000,0.09932900419035513,0.11597453065228135,112.051863307421787686,9.839203473840108000,5407709,https://blockscout.com/xdai/mainnet/tx/0x15ded09a2828ddc73d7fb55324a78587b96165e059713a179a810526e5429e1c,2120.0373745099428,210.58120125640758
3,25-05-2021,15.100000000000000000,0.11066931922518405,0.9999999998760934,136.442512755277025996,1.870988930E-9,5408286,https://blockscout.com/xdai/mainnet/tx/0x9cfd88aa99d9c8410950c853bbb2f52e7e8027d4f27a3f53cb3f732ecadac0d8,2640.1596323488234,292.1846691578565
4,31-05-2021,15.400000000000000000,0.10630394630932011,0.036221921410514016,144.867622836780967237,14.842182410278083000,5410578,https://blockscout.com/xdai/mainnet/tx/0x4d31cdc2d39c1f86c059f0e47572c62c916d77655849b2abedb50fca6a4bc106,2395.8532280027384,254.68865291461438
5,01-06-2021,13.300000000000000000,0.11817308129029841,0.9999999998682146,112.546781845586713566,1.752745293E-9,5412583,https://blockscout.com/xdai/mainnet/tx/0x9d2fd247da08d36f012f4e6aca9fd9231d259227d4979b836f659860bd0bf142,2708.429865793973,320.0635026995432
6,05-06-2021,14.900000000000000000,0.12708291848884365,0.9999999998796559,117.246284372262363243,1.793126613E-9,5413217,https://blockscout.com/xdai/mainnet/tx/0xf56ef024abeac3dfc2a9bdd1e8867724c8f153443360d362c2eaa697ab6ceddc,2694.4976666790503,342.4246273429531
7,07-06-2021,14.400000000000000000,0.1401770661761152,0.9999999999491322,102.727217745506064682,7.32495664E-10,5414629,https://blockscout.com/xdai/mainnet/tx/0x7bad1af14ba066df487354ef2e6715883fea67b847f454b9aa1859cf62fc1788,2711.5479390111605,380.09683488647624
8,15-06-2021,13.400000000000000000,0.10930823802245587,0.9999999997011937,122.589113523604269066,4.004004594E-9,5416642,https://blockscout.com/xdai/mainnet/tx/0xeaa82bcf60884d5829a0a262e6cab0b55c0ea3e107d6f42dbb6af0a67ebde580,2587.381610979154,282.82212498783474
9,18-06-2021,15.400000000000000000,0.1113811505049804,0.672421359998176,138.263969533259487211,5.044711056028090000,5419832,https://blockscout.com/xdai/mainnet/tx/0x391abaefa459e133c13b927953c1ef6d264db4099d9f97c943922222e03c9a65,2380.744519633922,265.17006365525316
10,21-06-2021,15.800000000000000000,0.11386862488427013,0.9999999999542966,138.756395943643476632,7.22114368E-10,5421293,https://blockscout.com/xdai/mainnet/tx/0x12694f4c1a1c26f4e5c649d0e8967092f4407cd40a03266e1696bab128c88526,2251.5605593660407,256.3821047386691
11,22-06-2021,16.400000000000000000,0.11162534763744093,0.332963592177135,146.920035163224667695,10.939397088294986000,5422976,https://blockscout.com/xdai/mainnet/tx/0xcf958b3f2eececef8ae44b2e2cea52e4194d79c37c24c19233759c8200985531,1900.1222998935382,212.10181227926998
12,26-06-2021,17.800000000000000000,0.14092312284144873,0.9999999997080623,126.310002511274252106,5.196490993E-9,5424120,https://blockscout.com/xdai/mainnet/tx/0x73aa78ba085dac0916c0b55d5e4334594622c32f755bc62c7edfcbc556d3a614,1833.4631609981645,258.37735426261526
13,05-07-2021,18.200000000000000000,0.13353947540198832,0.9997937383110264,136.289287832030927671,0.003753962739320271,5427216,https://blockscout.com/xdai/mainnet/tx/0xe36b5a98af482e198828fceaf184f7dc39592d03e18b99af38182d07675b665f,2329.004750998825,311.0140726571215
14,10-07-2021,16.970000000000000000,0.1552999031757284,0.999999999410135,109.272444174016837673,1.0010009825E-8,5428435,https://blockscout.com/xdai/mainnet/tx/0x00fc5891a04191dc249ea5c9a7c4c94ea60512c13f27997a87fa43ed6ca0b5b0,2156.5809569525845,334.916813805356
15,12-07-2021,16.120000000000000000,0.16308655624562396,0.9999999998028671,98.843217804671392869,3.177781793E-9,5428738,https://blockscout.com/xdai/mainnet/tx/0x675ba1f529a344fb82463b3a4a5fbb592673f0f24a74458c0eaae37627b86ebf,2144.0142572722566,349.6599017600516
16,17-07-2021,17.530000000000000000,0.1549599812298554,0.9999999998187232,113.125981694573000452,3.177781802E-9,5430192,https://blockscout.com/xdai/mainnet/tx/0x576858d39cc4b3bf81ee1288d2755aed9cb5c0a64df582693af842b4291ea705,1874.2002496808186,290.42603551153
17,08-08-2021,14.090000000000000000,0.13128475500722753,0.9999999997712381,107.323961561449474600,3.223255147E-9,5436527,https://blockscout.com/xdai/mainnet/tx/0x93eb74c4f612f69d5e3da437caf5c6227667df66f98a5923a1f12dbdb7d8b105,3151.2175169176753,413.7068196830209
18,09-08-2021,13.530000000000000000,0.1547962055421952,0.9999999997651308,87.405243252632041770,3.177780751E-9,5436973,https://blockscout.com/xdai/mainnet/tx/0x60c58160ecae15792553062d0c1eb9d633b723acf25649010f644be33f0f48f7,3012.3085592702105,466.2939348973054
